"Row4781","Jardim[LOCATION(NE)]",""
"Row4782","Boa Viagem[LOCATION(NE)]",""
"Row4784","Recife[LOCATION(NE)]",""
"Row4809","Curitiba[LOCATION(NE)]",""
"Row4827","Santa Luzia[LOCATION(NE)]",""
"Row4930","Castro[LOCATION(NE)]",""
"Row4970","sorriso[LOCATION(NE)]",""
"Row4993","Saudades[LOCATION(NE)]",""
"Row5019","Feliz[LOCATION(NE)]",""
"Row5021","Lagoa[LOCATION(NE)]",""
"Row5158","Tiradentes[LOCATION(NE)]",""
"Row5165","fronteira[LOCATION(NE)]",""
"Row5179","Cachoeirinha[LOCATION(NE)]",""
"Row5218","Itajuba[LOCATION(NE)]",""
"Row5235","Porto Alegre[LOCATION(NE)]",""
"Row5237","Rio Grande[LOCATION(NE)]",""
"Row5252","Feliz[LOCATION(NE)]",""
"Row5294","Novo Hamburgo[LOCATION(NE)]",""
"Row5296","Rio Grande[LOCATION(NE)]",""
"Row5340","Porto Alegre[LOCATION(NE)]",""
"Row5353","Camocim[LOCATION(NE)]",""
"Row5386","Vinhedo[LOCATION(NE)]",""
"Row5435","Londrina[LOCATION(NE)]",""
"Row5502","Colina[LOCATION(NE)]",""
"Row5504","Laranjeiras[LOCATION(NE)]",""
"Row5584","Novo Hamburgo[LOCATION(NE)]",""
"Row5625","Serra Negra[LOCATION(NE)]",""
"Row5700","Jardim[LOCATION(NE)]",""
"Row5702","Barra[LOCATION(NE)]",""
"Row5747","Igrejinha[LOCATION(NE)]",""
"Row5856","CRUZEIRO[LOCATION(NE)]",""
"Row5968","Campinas[LOCATION(NE)]",""
"Row5971","Salvador[LOCATION(NE)]",""
"Row5986","Barra Funda[LOCATION(NE)]",""
"Row5988","Barra[LOCATION(NE)]",""
"Row6024","Areia[LOCATION(NE)]",""
"Row6026","Porto Alegre[LOCATION(NE)]",""
"Row6032","Feliz[LOCATION(NE)]",""
"Row6089","Serra Negra[LOCATION(NE)]",""
"Row6129","maravilha[LOCATION(NE)]",""
"Row6175","pinheiros[LOCATION(NE)]",""
"Row6188","Serra[LOCATION(NE)]",""
"Row6326","paraiso[LOCATION(NE)]",""
"Row6358","batalha[LOCATION(NE)]",""
"Row6414","Campina Grande[LOCATION(NE)]",""
"Row6433","Boituva[LOCATION(NE)]",""
"Row6441","colombia[LOCATION(NE)]",""
"Row6449","Porto[LOCATION(NE)]",""
"Row6478","Recife[LOCATION(NE)]",""
"Row6484","Patos[LOCATION(NE)]",""
"Row6525","Colina[LOCATION(NE)]",""
"Row6585","peixe[LOCATION(NE)]",""
"Row6633","maravilha[LOCATION(NE)]",""
"Row6680","combinado[LOCATION(NE)]",""
"Row6758","Picos[LOCATION(NE)]",""
"Row6764","natal[LOCATION(NE)]",""
"Row6773","Natal[LOCATION(NE)]",""
"Row6784","Caldas[LOCATION(NE)]",""
"Row6806","Belo Horizonte[LOCATION(NE)]",""
